★ Linda the Senior Guardian,★★ Fe/Male Knight,★★★ Goddess of War Plitvice
★ Guardian Member Bob,★★ Knight Captain Eva,★★★ Knight Lady Lapice
★ Byrule's Hero Hyper,★★ Red Hood Elvira,★★★ Grand Admiral Marina
★ Peddler Maria,★★ White Beast,★★★ Executive Red Hood Arabelle
★ Caravan Lisa,★★ Vampire Girl Karina,★★★ Idol Captain Eva
★ Elf Archer Leah,★★ Innkeeper Loraine,★★★ Flower Girl Bari
★ Teaten Ninja Jay,★★ Twin Fighter Lavi,★★★ Ice Witch Lupina
★ Ultra Rationale Dragon,★★ Twin Healer Favi,★★★ Scrivener Lahn
★ Super Teaten 2 Blade,★★ Leaf Fairy Aoba,★★★ Movie Star Eugene
★ Homecoming Queen Mina,★★ Mad Scientist Gremory,★★★ Dancing Archer Tinia
★ Dragon Talon Clan Hoshida,★★ Pirate Rachel,★★★ Dragon Avatar Vishuvac
★ Succubus Researcher Peggy,★★ Sniper Hekate,★★★ Eight-tailed Fox Nari
★ Relic Collector Ailie,★★ Innuit Girl Coco,★★★ Noble Succubus Bianca
★ Ghost Guard Oralie,★★ Engineer Marianne,★★★ Mecha Warrior Oghma
★ Baby White Tiger Kang,★★ Scientist Sohee,★★★ Golem Rider Alef
★ Merchant Agatha,★★ Kung Fu Master Mei/Fei,★★★ Exorcist Miya
★ Doctor DaVinci,★★ Desert Mercenary Marvin,★★★ Future Princess
★ Class President Kate,★★ Aspiring Warrior Craig,★★★ Nine-tailed Fox Garam
★ Town Guide Zoe,★★ Swordsman Akayuki,★★★ Dark Magician Beth
★ Monk Disciple Rio,★★ Dragon Talon Clan Ranpang,★★★ Santa's Little Helper Rue
★ Private Nyan,★★ Succubus Adventurer Yuze,★★★ Archangel Gabriel
★ Junior Engineer Marty Junior,★★ Princess Aisha,★★★ Drunken Swordmaster Lynn
,★★ Dragon Knight Shapira,★★★ Future Knight
,★★ Swindler Magician Dolf,★★★ Chosen One's Archpriestess Veronica
,★★ Dual-personality Maid Amy,
,★★ Fire Dragon Girgas,
,★★ Dimension Traveler Catherine,
,★★ Battleball Girl Rie,
,★★ Dragon Seeking Girl Neva,
